,LocationDesc,LocationAbbr,Sample_Size,Latitude,Longitude,Data_Value
0,Alabama,AL,8190.0,32.84057112200048,-86.63186076199969,33.5
1,Alaska,AK,4142.0,64.84507995700051,-147.7220590359997,29.7
2,Arizona,AZ,13849.0,34.86597028000045,-111.76381127699972,28.9
3,Arkansas,AR,4886.0,34.74865012400045,-92.27449074299965,35.9
4,California,CA,8025.0,37.63864012300047,-120.99999953799973,24.7
5,Colorado,CO,12567.0,38.84384075700047,-106.13361092099969,21.3
6,Connecticut,CT,7237.0,41.56266102000046,-72.64984095199965,26.3
7,Delaware,DE,3983.0,39.008830667000495,-75.57774116799966,30.7
8,District of Columbia,DC,3787.0,38.89037138500049,-77.03196112699966,21.7
9,Florida,FL,9156.0,28.93204037700048,-81.92896053899965,26.2
10,Georgia,GA,5844.0,32.83968109300048,-83.62758034599966,30.5
11,Guam,GU,2352.0,13.444304,144.793731,28.0
12,Hawaii,HI,6905.0,21.30485043500045,-157.85774940299973,22.1
13,Idaho,ID,5125.0,43.682630005000476,-114.3637300419997,28.9
14,Illinois,IL,4835.0,40.48501028300046,-88.99771017799969,29.3
15,Indiana,IN,10773.0,39.76691045200045,-86.14996019399969,32.7
16,Iowa,IA,7572.0,42.46940091300047,-93.81649055599968,30.9
17,Kansas,KS,12825.0,38.34774030000045,-98.20078122699965,31.3
18,Kentucky,KY,10442.0,37.64597027100047,-84.77497104799966,31.6
19,Louisiana,LA,6366.0,31.31266064400046,-92.44568007099969,34.9
20,Maine,ME,8705.0,45.254228894000505,-68.98503133599961,28.2
21,Maryland,MD,11713.0,39.29058096400047,-76.60926011099963,29.6
22,Massachusetts,MA,14394.0,42.27687047000046,-72.08269067499964,23.3
23,Michigan,MI,8024.0,44.661319543000495,-84.71439026999968,30.7
24,Minnesota,MN,15309.0,46.35564873600049,-94.79420050299969,27.6
25,Mississippi,MS,3975.0,32.74551009900045,-89.5380308249997,35.5
26,Missouri,MO,6695.0,38.635790776000476,-92.5663000529997,30.2
27,Montana,MT,7064.0,47.06652897200046,-109.42442064499971,26.4
28,Nebraska,NE,21130.0,41.6410409880005,-99.36572062299969,30.2
29,Nevada,NV,3555.0,39.493240390000494,-117.07184056399969,27.7
30,New Hampshire,NH,5730.0,43.65595011300047,-71.50036091999965,27.4
31,New Jersey,NJ,11955.0,40.13057004800049,-74.27369128799967,26.9
32,New Mexico,NM,8284.0,34.52088095200048,-106.2405809849997,28.4
33,New York,NY,6325.0,42.82700103200045,-75.54397042699965,27.0
34,North Carolina,NC,6621.0,35.466220975000454,-79.15925046299964,29.7
35,North Dakota,ND,7269.0,47.47531977900047,-100.11842104899965,32.2
36,Ohio,OH,10313.0,40.060210141000475,-82.40426005599966,32.6
37,Oklahoma,OK,8009.0,35.472031356000464,-97.52107021399969,33.0
38,Oregon,OR,4919.0,44.56744942400047,-120.15503132599967,27.9
39,Pennsylvania,PA,10374.0,40.79373015200048,-77.86070029399963,30.2
40,Puerto Rico,PR,5743.0,18.220833,-66.590149,28.3
41,Rhode Island,RI,5969.0,41.70828019300046,-71.52247031399962,27.0
42,South Carolina,SC,10393.0,33.99882130300045,-81.04537120699969,32.1
43,South Dakota,SD,6960.0,44.35313005300048,-100.3735306369997,29.8
44,Tennessee,TN,4793.0,35.680940580000474,-85.77449091399967,31.2
45,Texas,TX,14058.0,31.827240407000488,-99.42677020599967,31.9
46,Utah,UT,13965.0,39.360700171000474,-111.58713063499971,25.7
47,Vermont,VT,6068.0,43.62538123900049,-72.51764079099962,24.8
48,Virginia,VA,8879.0,37.54268067400045,-78.45789046299967,28.5
49,Washington,WA,9444.0,47.522278629000475,-120.47001078999972,27.3
50,West Virginia,WV,5846.0,38.66551020200046,-80.71264013499967,35.7
51,Wisconsin,WI,6655.0,44.39319117400049,-89.81637074199966,31.2
52,Wyoming,WY,5973.0,43.23554134300048,-108.1098303529997,29.5
