STATE NAME,Yes,No,Total,Yes%,No%
ALABAMA,42000,19000,61000,68.85245901639344,31.147540983606557
ALASKA,7000,4000,11000,63.63636363636363,36.36363636363637
ARIZONA,72000,36000,108000,66.66666666666666,33.33333333333333
ARKANSAS,26000,12000,38000,68.42105263157895,31.57894736842105
CALIFORNIA,183000,90000,273000,67.03296703296702,32.967032967032964
COLORADO,66000,29000,95000,69.47368421052632,30.526315789473685
CONNECTICUT,36000,16000,52000,69.23076923076923,30.76923076923077
DELAWARE,10000,5000,15000,66.66666666666666,33.33333333333333
DISTRICT OF COLUMBIA,9000,6000,15000,60.0,40.0
FLORIDA,119000,62000,181000,65.74585635359117,34.25414364640884
GEORGIA,77000,37000,114000,67.54385964912281,32.45614035087719
HAWAII,14000,6000,20000,70.0,30.0
IDAHO,15000,10000,25000,60.0,40.0
ILLINOIS,67000,38000,105000,63.8095238095238,36.19047619047619
INDIANA,61000,31000,92000,66.30434782608695,33.69565217391305
IOWA,25000,14000,39000,64.1025641025641,35.8974358974359
KANSAS,24000,13000,37000,64.86486486486487,35.13513513513514
KENTUCKY,48000,18000,66000,72.72727272727273,27.27272727272727
LOUISIANA,40000,19000,59000,67.79661016949152,32.20338983050847
MAINE,16000,9000,25000,64.0,36.0
MARYLAND,65000,29000,94000,69.14893617021278,30.851063829787233
MASSACHUSETTS,73000,38000,111000,65.76576576576578,34.234234234234236
MICHIGAN,56000,27000,83000,67.46987951807229,32.53012048192771
MINNESOTA,59000,27000,86000,68.6046511627907,31.3953488372093
MISSISSIPPI,24000,10000,34000,70.58823529411765,29.411764705882355
MISSOURI,57000,37000,94000,60.63829787234043,39.361702127659576
MONTANA,9000,6000,15000,60.0,40.0
NEBRASKA,13000,9000,22000,59.09090909090909,40.909090909090914
NEVADA,33000,15000,48000,68.75,31.25
NEW HAMPSHIRE,15000,8000,23000,65.21739130434783,34.78260869565217
NEW JERSEY,81000,34000,115000,70.43478260869566,29.565217391304348
NEW MEXICO,17000,5000,22000,77.27272727272727,22.727272727272727
NEW YORK,121000,50000,171000,70.76023391812866,29.239766081871345
NORTH CAROLINA,81000,32000,113000,71.68141592920354,28.31858407079646
NORTH DAKOTA,7000,3000,10000,70.0,30.0
OHIO,75000,30000,105000,71.42857142857143,28.57142857142857
OKLAHOMA,40000,16000,56000,71.42857142857143,28.57142857142857
OREGON,42000,19000,61000,68.85245901639344,31.147540983606557
Overall,428000,203000,631000,67.82884310618067,32.17115689381934
PENNSYLVANIA,62000,35000,97000,63.91752577319587,36.08247422680412
RHODE ISLAND,10000,6000,16000,62.5,37.5
SOUTH CAROLINA,47000,26000,73000,64.38356164383562,35.61643835616438
SOUTH DAKOTA,8000,3000,11000,72.72727272727273,27.27272727272727
TENNESSEE,74000,20000,94000,78.72340425531915,21.27659574468085
TEXAS,134000,44000,178000,75.28089887640449,24.719101123595504
UTAH,28000,14000,42000,66.66666666666666,33.33333333333333
VERMONT,7000,3000,10000,70.0,30.0
VIRGINIA,63000,32000,95000,66.3157894736842,33.68421052631579
WASHINGTON,91000,48000,139000,65.46762589928058,34.53237410071942
WEST VIRGINIA,21000,11000,32000,65.625,34.375
WISCONSIN,58000,32000,90000,64.44444444444444,35.55555555555556
WYOMING,5000,3000,8000,62.5,37.5
